Date,Playtime,Rank,Season,Result,Map,Agent,Rounds Won,Rounds Lost,Kills,Deaths,Assists,Headshots,Headshot Percentage,Damage,Received Damage,Kill Death Ratio
2021-08-24T11:21:17.969+00:00,33m 20s,Gold 1,E3: A1,victory,Ascent,Reyna,13,8,19,16,4,15,27.86885245901639,3280,3209,1.1875
2021-08-24T10:45:07.403+00:00,26m 55s,Gold 1,E3: A1,victory,Bind,Killjoy,13,5,20,9,4,10,11.76470588235294,3173,1729,2.2222222222222223
2021-08-23T20:16:47.654+00:00,39m 06s,Gold 1,E3: A1,defeat,Split,Jett,11,13,12,20,6,5,8.620689655172415,2486,3528,0.6
2021-08-23T19:39:33.256+00:00,28m 15s,Silver 3,E3: A1,victory,Bind,Jett,13,4,15,11,6,9,20.0,2247,2098,1.3636363636363635
2021-08-23T18:53:07.565+00:00,40m 34s,Silver 3,E3: A1,victory,Ascent,Jett,13,10,15,18,9,5,13.725490196078432,2829,3286,0.8333333333333334
2021-08-23T18:20:53.06+00:00,28m 41s,Gold 1,E3: A1,defeat,Bind,Killjoy,4,13,5,16,1,2,5.0,1693,2645,0.3125
2021-08-22T20:46:15.146+00:00,31m 02s,Gold 1,E3: A1,defeat,Ascent,Killjoy,7,13,8,18,3,5,15.384615384615385,1790,3091,0.4444444444444444
2021-08-22T19:59:12.431+00:00,42m 29s,Gold 1,E3: A1,tied,Haven,Killjoy,14,14,16,20,2,10,19.696969696969695,3228,3266,0.8
2021-08-22T19:33:13.414+00:00,23m 13s,Gold 1,E3: A1,defeat,Haven,Killjoy,4,13,10,13,4,3,7.575757575757576,1676,2307,0.7692307692307693
2021-08-21T21:07:47.427+00:00,27m 17s,Gold 1,E3: A1,defeat,Breeze,Killjoy,4,13,5,16,2,2,7.547169811320755,1372,2627,0.3125
2021-08-21T20:19:21.171+00:00,43m 03s,Gold 1,E3: A1,victory,Bind,Jett,13,11,18,20,4,6,10.76923076923077,3448,3466,0.9
2021-08-21T19:43:24.682+00:00,32m 04s,Gold 1,E3: A1,defeat,Breeze,Skye,7,13,6,18,3,4,22.727272727272727,1177,3084,0.3333333333333333
2021-08-21T18:20:10.671+00:00,30m 04s,Gold 1,E3: A1,defeat,Ascent,Brimstone,7,13,8,17,3,5,24.0,1515,2686,0.47058823529411764
2021-08-21T00:34:57.75+00:00,38m 59s,Gold 1,E3: A1,victory,Bind,Sage,13,11,14,18,11,8,18.666666666666668,3190,3605,0.7777777777777778
2021-08-20T23:41:46.582+00:00,40m 58s,Gold 1,E3: A1,victory,Haven,Brimstone,13,11,8,16,4,2,6.0606060606060606,1662,2727,0.5
2021-08-20T23:02:48.937+00:00,29m 33s,Gold 1,E3: A1,victory,Breeze,Raze,13,6,11,12,5,6,15.789473684210526,2104,2142,0.9166666666666666
2021-08-20T20:36:30.493+00:00,42m 14s,Gold 1,E3: A1,victory,Icebox,Skye,15,13,9,21,10,2,7.894736842105263,1533,3616,0.42857142857142855
2021-08-20T19:52:31.521+00:00,37m 10s,Gold 1,E3: A1,defeat,Split,Killjoy,8,13,12,14,6,6,12.676056338028168,2651,2424,0.8571428571428571
2021-08-20T11:54:03.804+00:00,20m 32s,Silver 3,E3: A1,victory,Haven,Brimstone,13,1,16,3,2,2,5.555555555555555,1909,522,5.333333333333333
2021-08-18T14:15:18.334+00:00,33m 14s,Gold 1,E3: A1,defeat,Breeze,Viper,9,13,9,16,1,6,17.647058823529413,1747,2490,0.5625
